abcode;sample_predect;pic;slidemap;x;y;positive_tumor_cells;staining_intensity;spot_quality;EA;A1;A2
59;WP1_MCF931.TCPi;1727_s1.jpg;cpi.mb.2.59;1;1;70-100%;Moderate (++);null;81.65%;72.42;77.87
59;WP1_MCF931.TCPi;1721_s1.jpg;cpi.mb.2.59;2;1;40-69%;Moderate (++);null;81.64%;52.32;58.1
59;WP1_MCF931.TCPi;1723_s1.jpg;cpi.mb.2.59;3;1;70-100%;Moderate (++);null;81.64%;74.34;79.01
65;WP1_MCF931.TCPi;3868_s1.jpg;cpi.mb.2.65;2;1;5-15%;Strong (+++);null;44.69%;17.49;25.63
65;WP1_MCF931.TCPi;3869_s1.jpg;cpi.mb.2.65;3;1;5-15%;Strong (+++);null;54.9%;16.6;25.94
59;WP1_MCF935.TCPi;1726_s1.jpg;cpi.mb.2.59;1;2;70-100%;Moderate (++);null;81.64%;69.44;79.68
59;WP1_MCF935.TCPi;1716_s1.jpg;cpi.mb.2.59;2;2;70-100%;Moderate (++);null;80.43%;81.35;86.86
59;WP1_MCF935.TCPi;1728_s1.jpg;cpi.mb.2.59;3;2;70-100%;Moderate (++);null;79.13%;88.07;95.06
65;WP1_MCF935.TCPi;3861_s1.jpg;cpi.mb.2.65;1;2;5-15%;Strong (+++);null;9.85%;5.99;5.89
65;WP1_MCF935.TCPi;3862_s1.jpg;cpi.mb.2.65;2;2;5-15%;Strong (+++);null;16.79%;8.92;8.66
65;WP1_MCF935.TCPi;3863_s1.jpg;cpi.mb.2.65;3;2;>0% and <5%;Strong (+++);null;7.97%;4.69;5.04
;;;;;;;;;0,545454545;0,727272727;0,727272727
